         Reward           Loss         Qvalue     Mean_Max_Q         Length
        -20.000          0.000          0.000          0.000            947
        -18.000          0.000          0.000          0.000           1181
        -20.000          0.000          0.000          0.000            930
        -21.000          0.000          0.000          0.000            878
        -20.000          0.000          0.000          0.000            997
        -21.000          0.000          0.000          0.000            793
        -20.000          0.000          0.000          0.000           1008
        -21.000          0.000          0.000          0.000            820
        -19.000          0.000          0.000          0.000           1126
        -20.000          0.000          0.000          0.000            920
        -18.000          0.033         -0.061         -0.038           1208
        -19.000          0.030         -0.049         -0.035           1115
        -20.000          0.031         -0.062         -0.046           1155
        -19.000          0.031         -0.059         -0.038            920
        -20.000          0.031         -0.058         -0.044            947
        -20.000          0.031         -0.071         -0.055           1054
        -21.000          0.033         -0.074         -0.062            791
        -21.000          0.030         -0.034         -0.020            823
        -20.000          0.032         -0.070         -0.053           1129
        -19.000          0.031         -0.073         -0.062           1117
        -19.000          0.030         -0.080         -0.062           1164
        -20.000          0.032         -0.103         -0.089           1057
        -20.000          0.029         -0.093         -0.077            869
        -20.000          0.033         -0.099         -0.088            901
        -21.000          0.031         -0.098         -0.088            901
        -20.000          0.031         -0.093         -0.077           1046
        -20.000          0.030         -0.097         -0.086            897
        -21.000          0.031         -0.087         -0.081            799
        -19.000          0.030         -0.094         -0.083           1072
        -21.000          0.031         -0.087         -0.076            910
        -21.000          0.032         -0.123         -0.111            944
        -21.000          0.031         -0.156         -0.145           1079
        -20.000          0.028         -0.163         -0.146            977
        -21.000          0.026         -0.163         -0.146            931
        -21.000          0.025         -0.161         -0.137            851
        -19.000          0.022         -0.164         -0.143           1015
        -21.000          0.020         -0.161         -0.144           1033
        -20.000          0.017         -0.164         -0.149            925
        -20.000          0.015         -0.164         -0.151            913
        -20.000          0.015         -0.161         -0.147           1019
        -21.000          0.014         -0.171         -0.156            809
        -20.000          0.025         -0.235         -0.217            921
        -21.000          0.023         -0.231         -0.216            941
        -19.000          0.022         -0.234         -0.218           1041
        -21.000          0.021         -0.232         -0.214            882
        -21.000          0.020         -0.233         -0.217            850
        -20.000          0.019         -0.244         -0.227            860
        -21.000          0.017         -0.236         -0.217            764
        -21.000          0.017         -0.232         -0.212            809
        -20.000          0.016         -0.241         -0.225           1061
        -19.000          0.016         -0.239         -0.220           1044
        -21.000          0.015         -0.236         -0.218            783
        -18.000          0.020         -0.295         -0.274           1261
