         Reward           Loss         Qvalue     Mean_Max_Q         Length
        -20.000          0.000          0.000          0.000           1067
        -21.000          0.000          0.000          0.000            948
        -21.000          0.000          0.000          0.000            824
        -21.000          0.000          0.000          0.000            763
        -21.000          0.000          0.000          0.000            940
        -19.000          0.015         -0.006          0.053           1070
        -20.000          0.002          0.004          0.053           1044
        -21.000          0.000          0.000          0.000            993
        -20.000          0.000          0.000          0.000            986
        -20.000          0.000          0.000          0.000            962
        -21.000          0.011         -0.019         -0.002            782
        -21.000          0.011          0.006          0.019            891
        -21.000          0.010         -0.011         -0.001           1000
        -20.000          0.012          0.004          0.012           1050
        -21.000          0.013         -0.001          0.008            794
        -21.000          0.011          0.002          0.015            971
        -21.000          0.012          0.006          0.016            825
        -21.000          0.012          0.016          0.030            870
        -20.000          0.012         -0.002          0.005            920
        -20.000          0.010         -0.013          0.004           1020
        -20.000          0.012          0.006          0.016           1127
        -20.000          0.013         -0.035         -0.023            860
        -20.000          0.009         -0.041         -0.033            870
        -21.000          0.012         -0.048         -0.040            840
        -21.000          0.011         -0.046         -0.039            871
        -21.000          0.011         -0.043         -0.037            764
        -21.000          0.013         -0.048         -0.042            824
        -20.000          0.013         -0.049         -0.042            974
        -21.000          0.011         -0.047         -0.042            792
        -21.000          0.013         -0.048         -0.043            879
        -21.000          0.011         -0.044         -0.040            886
        -20.000          0.011         -0.046         -0.039            990
        -21.000          0.012         -0.048         -0.042            823
        -21.000          0.011         -0.065         -0.059            883
        -21.000          0.012         -0.071         -0.061            842
        -21.000          0.012         -0.067         -0.059            973
        -20.000          0.012         -0.064         -0.057           1056
        -21.000          0.011         -0.063         -0.054            853
        -20.000          0.011         -0.065         -0.060            925
        -21.000          0.011         -0.063         -0.057            870
        -21.000          0.010         -0.062         -0.057            854
        -19.000          0.010         -0.064         -0.057            991
        -21.000          0.011         -0.062         -0.056            762
        -20.000          0.013         -0.068         -0.061            930
        -20.000          0.011         -0.084         -0.077            991
        -19.000          0.011         -0.085         -0.077            936
        -19.000          0.011         -0.088         -0.078           1041
        -21.000          0.010         -0.084         -0.073            905
        -21.000          0.011         -0.086         -0.073            841
        -20.000          0.011         -0.086         -0.072            917
        -21.000          0.011         -0.088         -0.076            810
        -21.000          0.010         -0.087         -0.077            764
        -20.000          0.009         -0.084         -0.072            872
        -19.000          0.010         -0.086         -0.075           1039
        -21.000          0.009         -0.087         -0.074            978
        -21.000          0.008         -0.098         -0.081            819
        -19.000          0.008         -0.097         -0.084            921
        -20.000          0.007         -0.091         -0.077            900
        -20.000          0.007         -0.101         -0.088            869
        -19.000          0.007         -0.101         -0.088           1177
        -21.000          0.006         -0.099         -0.088            869
        -19.000          0.006         -0.096         -0.083            956
        -21.000          0.005         -0.103         -0.090            825
        -20.000          0.005         -0.100         -0.088            917
        -21.000          0.005         -0.102         -0.090            895
        -20.000          0.005         -0.104         -0.092            868
        -20.000          0.005         -0.101         -0.089           1133
        -21.000          0.005         -0.106         -0.094            793
        -20.000          0.005         -0.108         -0.096            961
        -21.000          0.004         -0.108         -0.098            860
        -20.000          0.004         -0.111         -0.100            901
        -19.000          0.004         -0.110         -0.100           1087
        -19.000          0.004         -0.108         -0.095           1035
        -20.000          0.004         -0.108         -0.099            902
        -20.000          0.004         -0.110         -0.100            962
        -21.000          0.004         -0.105         -0.095            912
        -18.000          0.004         -0.125         -0.115           1038
        -20.000          0.004         -0.131         -0.120            842
        -21.000          0.004         -0.132         -0.121            824
        -19.000          0.003         -0.134         -0.126            963
        -20.000          0.004         -0.130         -0.121            979
        -21.000          0.004         -0.133         -0.123            917
        -19.000          0.003         -0.128         -0.121           1196
        -21.000          0.003         -0.128         -0.120            886
        -21.000          0.003         -0.127         -0.119            841
        -19.000          0.003         -0.120         -0.113            980
        -20.000          0.004         -0.133         -0.125           1100
        -21.000          0.006         -0.150         -0.142            886
        -21.000          0.005         -0.153         -0.144            791
        -21.000          0.005         -0.151         -0.142            764
        -19.000          0.005         -0.157         -0.149           1204
        -21.000          0.004         -0.149         -0.142            930
        -21.000          0.004         -0.147         -0.138            763
        -21.000          0.004         -0.153         -0.145            763
        -20.000          0.004         -0.155         -0.148            956
        -19.000          0.004         -0.153         -0.145           1012
        -19.000          0.005         -0.151         -0.144            959
        -21.000          0.005         -0.167         -0.158            910
        -20.000          0.006         -0.177         -0.166            887
        -21.000          0.005         -0.179         -0.171            945
        -20.000          0.005         -0.179         -0.170            947
        -20.000          0.005         -0.182         -0.173           1037
        -20.000          0.004         -0.177         -0.168            967
        -21.000          0.004         -0.186         -0.179            763
        -21.000          0.004         -0.179         -0.172            878
        -21.000          0.004         -0.176         -0.168            903
        -20.000          0.004         -0.178         -0.170           1022
        -21.000          0.005         -0.183         -0.175            851
        -20.000          0.005         -0.192         -0.185            940
        -21.000          0.005         -0.196         -0.188            763
        -21.000          0.005         -0.200         -0.188            819
        -20.000          0.005         -0.202         -0.193            980
        -20.000          0.005         -0.203         -0.195            841
        -21.000          0.004         -0.198         -0.190            880
        -20.000          0.005         -0.193         -0.186            928
        -21.000          0.004         -0.194         -0.187            820
        -18.000          0.004         -0.201         -0.194           1190
        -20.000          0.004         -0.200         -0.192            982
        -19.000          0.004         -0.200         -0.193           1081
        -21.000          0.004         -0.202         -0.194            763
        -21.000          0.005         -0.213         -0.205            764
        -20.000          0.005         -0.213         -0.205            887
        -20.000          0.004         -0.200         -0.192            979
        -21.000          0.004         -0.214         -0.207            851
        -21.000          0.004         -0.209         -0.202            911
        -20.000          0.003         -0.209         -0.201            901
        -21.000          0.003         -0.207         -0.200            762
        -19.000          0.004         -0.205         -0.198           1011
        -19.000          0.004         -0.203         -0.196            971
        -21.000          0.004         -0.205         -0.197            791
        -21.000          0.004         -0.213         -0.206            764
        -21.000          0.005         -0.234         -0.227            809
        -21.000          0.004         -0.224         -0.216            880
        -21.000          0.004         -0.226         -0.219            763
        -21.000          0.004         -0.228         -0.220            824
        -21.000          0.004         -0.237         -0.230            912
        -20.000          0.004         -0.225         -0.216            842
        -21.000          0.004         -0.238         -0.231            879
        -21.000          0.004         -0.232         -0.225            763
        -21.000          0.004         -0.228         -0.221            762
        -20.000          0.004         -0.235         -0.228            881
        -19.000          0.004         -0.236         -0.229           1138
        -20.000          0.004         -0.234         -0.228            836
        -21.000          0.004         -0.237         -0.231            823
        -21.000          0.004         -0.229         -0.222            943
        -19.000          0.004         -0.242         -0.235           1038
        -20.000          0.004         -0.238         -0.231            899
        -21.000          0.005         -0.233         -0.226            824
        -21.000          0.003         -0.240         -0.233            851
        -21.000          0.004         -0.242         -0.235            791
        -19.000          0.003         -0.237         -0.231            955
        -19.000          0.003         -0.231         -0.225           1121
        -19.000          0.004         -0.231         -0.225           1102
        -21.000          0.004         -0.254         -0.247            865
        -20.000          0.005         -0.258         -0.251            921
        -21.000          0.004         -0.254         -0.246            949
        -21.000          0.004         -0.260         -0.254            859
        -21.000          0.004         -0.259         -0.252            870
        -20.000          0.004         -0.256         -0.248            965
        -21.000          0.003         -0.256         -0.250            820
        -20.000          0.004         -0.256         -0.250            870
