         Reward           Loss         Qvalue     Mean_Max_Q         Length
        -21.000          0.001          0.010          0.047            764
        -21.000          0.015          0.023          0.046            764
        -21.000          0.030          0.017          0.048            852
        -20.000          0.015          0.014          0.049            836
        -21.000          0.000          0.000          0.000            781
        -19.000          0.000          0.000          0.000           1052
        -21.000          0.000          0.000          0.000            822
        -20.000          0.000          0.000          0.000            959
        -21.000          0.017          0.013          0.049            762
        -21.000          0.000          0.000          0.000            798
        -19.000          0.000          0.000          0.000            937
        -20.000          0.010          0.024          0.044            991
        -21.000          0.013          0.022          0.035            825
        -19.000          0.013          0.020          0.033           1024
        -20.000          0.012          0.022          0.035           1024
        -17.000          0.013          0.022          0.032           1263
        -20.000          0.012          0.025          0.031            977
        -20.000          0.011          0.026          0.032            948
        -21.000          0.011          0.027          0.035            822
        -20.000          0.012          0.023          0.032           1056
        -19.000          0.011          0.026          0.033           1084
        -21.000          0.011          0.027          0.033            841
        -21.000          0.011          0.017          0.024            823
        -21.000          0.012          0.012          0.018            818
        -19.000          0.012          0.011          0.021            934
        -20.000          0.012          0.011          0.020            967
        -19.000          0.012          0.011          0.015            943
        -20.000          0.013          0.012          0.018            840
        -21.000          0.013          0.012          0.017            907
        -20.000          0.013          0.012          0.020            948
        -21.000          0.010          0.015          0.026            882
        -21.000          0.011          0.013          0.024            809
        -21.000          0.011          0.013          0.026            911
        -20.000          0.008          0.023          0.044            841
        -21.000          0.006          0.023          0.046            790
        -20.000          0.006          0.023          0.045            944
        -18.000          0.004          0.022          0.038           1170
        -21.000          0.003          0.023          0.037            884
        -20.000          0.004          0.026          0.040            955
        -20.000          0.003          0.023          0.035           1020
        -21.000          0.003          0.023          0.035            940
        -20.000          0.002          0.026          0.037            978
        -21.000          0.003          0.028          0.039            880
        -20.000          0.004          0.018          0.028            974
        -20.000          0.005         -0.003          0.010            977
        -20.000          0.003         -0.005          0.006            901
        -21.000          0.002         -0.004          0.005            850
        -19.000          0.002         -0.002          0.008           1042
        -21.000          0.002         -0.005          0.005           1069
        -21.000          0.002         -0.008          0.000            822
        -19.000          0.002         -0.004          0.005            980
        -20.000          0.002         -0.003          0.007           1080
        -21.000          0.002         -0.003          0.006            880
        -21.000          0.002         -0.005          0.004            872
        -21.000          0.004         -0.014         -0.003            850
        -20.000          0.002         -0.020         -0.012            956
        -21.000          0.002         -0.017         -0.008            960
        -21.000          0.001         -0.014         -0.007            824
        -19.000          0.002         -0.020         -0.011            937
        -20.000          0.002         -0.019         -0.010            929
        -18.000          0.001         -0.018         -0.010           1193
        -18.000          0.001         -0.022         -0.014           1181
        -20.000          0.001         -0.015         -0.008           1003
        -21.000          0.001         -0.018         -0.011            914
        -19.000          0.003         -0.033         -0.023           1035
        -19.000          0.002         -0.037         -0.027            977
        -21.000          0.002         -0.040         -0.032            880
        -21.000          0.003         -0.045         -0.036            783
        -18.000          0.002         -0.042         -0.034           1168
        -20.000          0.002         -0.040         -0.033            930
        -20.000          0.002         -0.036         -0.029            860
        -21.000          0.002         -0.043         -0.036            870
        -21.000          0.001         -0.043         -0.036           1017
        -20.000          0.001         -0.043         -0.036            984
        -19.000          0.002         -0.041         -0.033           1001
        -21.000          0.004         -0.054         -0.044            972
        -21.000          0.003         -0.049         -0.040            988
        -21.000          0.002         -0.054         -0.045            870
        -21.000          0.002         -0.064         -0.055            851
        -21.000          0.002         -0.050         -0.042            853
        -20.000          0.002         -0.054         -0.046            976
        -20.000          0.001         -0.057         -0.049            899
        -21.000          0.002         -0.058         -0.047            763
        -19.000          0.002         -0.061         -0.054            921
        -21.000          0.002         -0.055         -0.047            957
        -21.000          0.001         -0.051         -0.043            824
        -20.000          0.004         -0.068         -0.058            920
        -21.000          0.003         -0.065         -0.056            764
        -20.000          0.002         -0.059         -0.050            840
        -20.000          0.002         -0.068         -0.059            946
        -21.000          0.002         -0.066         -0.058            972
        -21.000          0.002         -0.065         -0.056            946
        -21.000          0.002         -0.063         -0.055            880
        -20.000          0.002         -0.070         -0.061            954
        -21.000          0.002         -0.067         -0.059            902
        -21.000          0.002         -0.067         -0.058            849
        -21.000          0.002         -0.060         -0.052            912
        -21.000          0.003         -0.070         -0.060            872
        -19.000          0.003         -0.074         -0.065           1124
        -19.000          0.002         -0.076         -0.067           1072
        -20.000          0.002         -0.071         -0.064            991
        -20.000          0.002         -0.081         -0.072            870
        -20.000          0.002         -0.081         -0.073            901
