         Reward           Loss         Qvalue     Mean_Max_Q         Length
        -21.000          0.001          0.010          0.047            764
        -21.000          0.015          0.023          0.046            764
        -21.000          0.030          0.017          0.048            852
        -20.000          0.015          0.014          0.049            836
        -21.000          0.000          0.000          0.000            781
        -19.000          0.000          0.000          0.000           1052
        -21.000          0.000          0.000          0.000            822
        -20.000          0.000          0.000          0.000            959
        -21.000          0.017          0.013          0.049            762
        -21.000          0.000          0.000          0.000            798
        -19.000          0.000          0.000          0.000            937
        -20.000          0.010          0.010          0.028            991
        -21.000          0.014         -0.009          0.006            825
        -19.000          0.013         -0.016          0.000            996
        -21.000          0.013          0.005          0.016            823
        -20.000          0.013          0.006          0.016            930
        -19.000          0.013          0.000          0.010           1085
        -20.000          0.012         -0.018         -0.006            840
        -19.000          0.012          0.000          0.013           1014
        -21.000          0.014         -0.017         -0.003            763
        -19.000          0.011          0.004          0.014           1026
        -19.000          0.011          0.012          0.017            973
        -16.000          0.012         -0.011         -0.006           1365
        -21.000          0.012         -0.029         -0.020            900
        -20.000          0.010         -0.027         -0.020            900
        -21.000          0.012         -0.028         -0.019            810
        -18.000          0.011         -0.030         -0.025           1064
        -21.000          0.011         -0.029         -0.025            790
        -21.000          0.013         -0.030         -0.025            973
        -21.000          0.015         -0.033         -0.028            822
        -20.000          0.012         -0.032         -0.024            869
        -20.000          0.012         -0.032         -0.025            929
        -21.000          0.014         -0.032         -0.024            880
        -19.000          0.013         -0.053         -0.046            938
        -21.000          0.013         -0.060         -0.051            762
        -20.000          0.011         -0.057         -0.049            902
        -20.000          0.013         -0.060         -0.054           1023
        -21.000          0.012         -0.057         -0.052            925
        -19.000          0.012         -0.061         -0.055           1056
        -21.000          0.011         -0.060         -0.053            854
        -19.000          0.012         -0.058         -0.051            979
        -20.000          0.012         -0.058         -0.049            989
        -21.000          0.011         -0.054         -0.048            914
        -21.000          0.012         -0.055         -0.048            762
        -20.000          0.011         -0.057         -0.048           1042
        -19.000          0.011         -0.053         -0.046           1147
        -21.000          0.013         -0.061         -0.055            944
        -21.000          0.011         -0.057         -0.051            912
        -21.000          0.011         -0.056         -0.050            762
        -21.000          0.012         -0.054         -0.049            885
        -20.000          0.011         -0.057         -0.051            932
        -20.000          0.012         -0.053         -0.049            961
        -20.000          0.011         -0.054         -0.051            902
        -20.000          0.010         -0.056         -0.052            938
        -21.000          0.010         -0.057         -0.053            822
        -19.000          0.011         -0.073         -0.065           1038
        -20.000          0.012         -0.077         -0.071           1069
        -20.000          0.012         -0.075         -0.070           1024
        -20.000          0.011         -0.073         -0.067            878
        -21.000          0.011         -0.076         -0.067            884
        -20.000          0.012         -0.077         -0.064            943
        -20.000          0.010         -0.074         -0.063            869
        -19.000          0.010         -0.076         -0.066           1086
        -20.000          0.009         -0.075         -0.060            986
        -20.000          0.008         -0.077         -0.063            900
        -21.000          0.008         -0.101         -0.086            871
        -20.000          0.006         -0.105         -0.089            930
        -20.000          0.005         -0.105         -0.091            842
        -20.000          0.006         -0.110         -0.096           1047
        -19.000          0.005         -0.109         -0.097            983
        -21.000          0.005         -0.109         -0.096            791
        -21.000          0.005         -0.109         -0.098            763
        -21.000          0.004         -0.107         -0.096            900
        -20.000          0.003         -0.106         -0.097            932
        -20.000          0.004         -0.112         -0.102           1039
        -20.000          0.004         -0.112         -0.103            870
        -19.000          0.006         -0.129         -0.118            983
        -21.000          0.006         -0.131         -0.120            869
        -20.000          0.004         -0.127         -0.116            957
        -21.000          0.004         -0.130         -0.120            763
        -20.000          0.005         -0.137         -0.127            897
        -19.000          0.004         -0.128         -0.119           1189
        -21.000          0.003         -0.128         -0.118            852
        -21.000          0.004         -0.130         -0.122            792
        -20.000          0.004         -0.138         -0.128           1005
        -21.000          0.003         -0.130         -0.121            893
        -20.000          0.003         -0.126         -0.118            931
        -21.000          0.005         -0.129         -0.120            852
        -19.000          0.004         -0.137         -0.126           1032
        -19.000          0.003         -0.133         -0.124           1112
        -21.000          0.003         -0.137         -0.128            910
        -21.000          0.003         -0.137         -0.127            972
        -21.000          0.003         -0.135         -0.128            822
        -21.000          0.003         -0.136         -0.127            791
        -21.000          0.003         -0.139         -0.131            930
        -19.000          0.002         -0.133         -0.125           1008
        -21.000          0.003         -0.132         -0.124            852
        -21.000          0.004         -0.134         -0.125            891
        -20.000          0.006         -0.148         -0.139           1021
        -19.000          0.003         -0.150         -0.142            981
